"응답자특성별(1)",응답자특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)",응답자특성별(2),분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차,분석대상자수 (명),인지율 (%),표준오차
"지역별",서울,8771,42.7,0.8,4402,34.5,0.8,4369,51.5,1.0,8337,41.6,0.8,4210,34.0,0.7,4127,49.7,1.0,7691,35.1,0.8,4067,29.8,0.9,3624,40.8,1.1,7643,39.6,0.7,3855,33.7,0.8,3788,45.7,0.8,7244,43.5,0.6,3541,38.8,0.7,3703,48.6,0.8,7364,39.6,0.9,3684,33.4,1.1,3680,46.2,0.9
"지역별",부산,3818,35.2,1.2,1882,27.2,1.2,1936,43.8,1.1,3512,36.6,1.1,1872,29.5,0.9,1640,44.4,1.4,3326,30.9,1.1,1714,24.9,1.1,1612,37.5,1.2,3235,36.9,1.2,1754,30.4,1.4,1481,43.9,1.0,2975,38.9,1.4,1573,33.4,2.0,1402,44.8,1.6,3137,32.6,1.1,1572,26.0,1.1,1565,39.7,1.1
"지역별",대구,3066,38.5,1.2,1473,30.3,1.1,1593,47.7,0.9,2965,35.9,1.4,1612,28.7,1.1,1353,43.9,1.5,2767,30.2,1.2,1577,25.7,1.4,1190,35.0,1.4,2929,38.1,1.1,1471,30.5,1.3,1458,46.4,1.6,2550,39.0,1.2,1370,33.2,0.9,1180,45.3,1.5,2642,35.0,1.1,1411,29.4,1.4,1231,40.9,1.3
"지역별",인천,3398,40.4,1.5,1802,31.7,1.1,1596,49.6,1.6,3241,39.7,1.7,1812,29.7,1.1,1429,50.4,1.7,3020,34.8,1.5,1632,27.9,1.3,1388,42.1,1.7,3181,37.6,1.4,1628,31.6,1.4,1553,44.0,1.8,2873,42.3,1.1,1449,35.6,1.1,1424,49.4,1.5,2927,36.9,1.3,1543,30.0,0.9,1384,44.1,1.5
"지역별",광주,2441,40.3,1.3,1148,32.0,1.2,1293,49.3,1.4,2296,39.3,1.5,1109,32.8,2.3,1187,46.2,1.9,2069,32.9,1.3,986,25.8,1.6,1083,40.6,1.1,2197,39.1,1.6,1106,32.3,1.7,1091,46.5,1.8,2015,43.7,1.5,1052,38.2,1.8,963,49.5,1.7,2091,37.4,1.3,908,30.4,1.6,1183,44.8,1.7
"지역별",대전,2273,41.9,1.7,1217,34.3,1.3,1056,50.1,2.2,2184,42.8,1.4,1218,35.5,1.4,966,50.8,1.9,2069,37.0,1.9,1127,29.1,1.7,942,45.4,2.0,2101,39.5,1.5,1155,32.2,1.0,946,47.4,1.9,1769,41.2,1.1,983,36.2,1.5,786,46.5,1.5,1853,38.5,1.5,891,32.1,1.0,962,45.5,1.5
"지역별",울산,1943,36.7,1.5,1043,28.8,1.4,900,45.6,2.0,1844,34.2,2.1,1070,26.2,1.9,774,43.3,2.2,1779,28.4,1.4,975,21.7,1.8,804,35.9,1.7,1774,34.7,1.3,971,28.1,1.4,803,42.1,1.3,1741,38.9,1.4,787,31.6,1.8,954,46.8,1.9,1664,34.3,1.5,818,29.6,1.4,846,39.4,2.2
"지역별",세종,944,39.6,1.9,482,28.2,1.5,462,51.0,1.9,956,37.2,0.8,502,30.8,1.5,454,43.6,1.7,900,33.0,1.5,475,24.3,0.9,425,41.5,1.7,802,37.7,3.0,342,34.6,4.7,460,40.8,2.2,1045,41.6,1.0,528,35.0,1.2,517,48.3,1.0,1097,36.1,1.2,547,31.0,1.1,550,41.3,2.1
"지역별",경기,12798,41.6,0.7,6364,33.1,0.7,6434,50.7,0.8,12360,41.6,0.7,6254,32.9,0.7,6106,50.8,0.8,12236,35.8,0.5,6297,30.3,0.6,5939,41.6,0.8,11946,40.2,0.6,6087,33.7,0.6,5859,47.0,0.8,11651,42.6,0.5,5954,36.9,0.6,5697,48.5,0.7,11934,39.0,0.7,6086,32.7,0.7,5848,45.6,0.8
"지역별",강원,2262,40.9,1.8,1171,35.1,1.6,1091,47.3,2.2,2056,39.0,1.8,1108,32.0,2.4,948,46.6,1.1,2054,36.5,1.7,995,28.0,1.4,1059,45.9,2.2,1998,39.6,1.6,1029,33.5,1.5,969,46.1,2.0,1935,39.4,1.6,1010,33.5,1.1,925,45.7,2.2,1895,36.8,1.7,1006,30.0,1.6,889,44.3,1.6
"지역별",충북,2367,41.8,1.9,1207,31.3,1.5,1160,53.4,2.1,2217,43.4,1.6,1153,35.2,1.3,1064,52.4,1.3,2104,35.9,1.2,995,29.9,1.5,1109,42.4,1.9,2113,41.5,1.7,1059,33.9,1.2,1054,49.7,2.1,1941,41.6,1.5,957,35.6,1.9,984,48.1,2.1,2001,36.8,2.0,1010,29.6,2.1,991,44.6,1.5
"지역별",충남,2619,40.0,1.8,1370,29.8,1.2,1249,51.2,2.1,2572,39.9,1.7,1300,29.8,1.3,1272,51.0,1.5,2335,36.6,1.3,1212,28.8,1.7,1123,45.1,1.7,2381,40.5,1.3,1179,35.2,1.5,1202,46.3,1.2,2234,39.7,1.4,1205,35.8,1.6,1029,43.9,1.8,2360,36.7,1.0,1220,31.2,1.2,1140,42.8,1.3
"지역별",전북,2485,40.9,1.7,1310,31.5,1.2,1175,51.2,1.6,2450,42.6,1.8,1220,34.5,1.6,1230,51.5,1.6,2351,37.9,1.8,1229,31.9,2.3,1122,44.5,1.9,2445,41.0,1.6,1338,34.2,1.8,1107,48.4,1.6,2249,43.3,1.7,1221,38.3,1.5,1028,48.7,1.9,2235,40.0,1.2,1103,31.8,1.1,1132,48.8,1.5
"지역별",전남,2455,38.8,2.0,1177,29.9,2.2,1278,48.4,2.3,2549,37.5,1.8,1359,28.5,1.3,1190,47.2,2.1,2278,30.6,1.6,1034,23.0,1.7,1244,38.8,1.6,2197,36.0,1.4,1097,27.8,1.4,1100,44.8,1.3,2158,37.8,1.7,1082,33.0,1.8,1076,42.9,1.7,2223,35.2,1.8,1025,26.9,1.6,1198,44.0,1.2
"지역별",경북,3064,39.8,1.5,1537,32.0,1.3,1527,48.7,1.7,3006,39.9,1.3,1480,31.5,1.0,1526,49.5,1.6,2905,31.7,1.2,1509,25.6,1.3,1396,38.6,1.2,2889,35.4,1.5,1451,28.7,1.1,1438,42.9,1.7,2740,38.1,1.2,1333,34.2,1.7,1407,42.6,1.6,2704,34.8,1.3,1410,27.6,1.3,1294,42.9,1.0
"지역별",경남,3884,38.0,1.4,1982,30.5,1.3,1902,46.3,1.3,3475,35.1,1.3,1865,28.0,1.1,1610,43.0,1.1,3668,30.2,1.1,1837,24.8,1.2,1831,36.1,1.3,3642,35.2,1.3,2051,29.5,1.2,1591,41.4,1.4,3420,38.8,1.1,1680,33.7,1.4,1740,44.4,1.4,3495,33.5,1.2,1740,26.9,1.2,1755,40.6,1.5
"지역별",제주,1452,38.6,2.2,896,30.4,1.3,556,47.6,1.9,1283,40.0,3.0,697,29.3,1.5,586,52.0,1.8,1396,33.0,2.4,692,26.3,2.5,704,40.4,2.1,1375,37.3,2.4,828,30.4,1.7,547,44.9,3.1,1310,39.7,1.7,672,35.9,2.0,638,43.8,2.0,1258,37.3,2.5,795,29.2,2.0,463,46.0,1.6
